onset	duration	trial_type	stimulus	memory_condition	encode_phase	response	low_confidence_accuracy	high_confidence_accuracy	response_time
4.034	3.0	CS+	tools/ruler.jpg	Old	acquisition	DN	M	M	2.05
11.117	3.0	CS-	animals/hyena.jpg	Old	extinction	MN	M	M	1.459
18.217	3.0	CS-	animals/horse.jpg	Old	extinction	MN	M	M	2.0340000000000003
25.3	3.0	CS-	animals/mouse.jpg	Old	acquisition	DO	H	H	1.6669999999999998
32.367	3.0	CS-	animals/dove.jpg	New	foil	MN	CR	CR	1.79
39.467	3.0	CS+	tools/carabiner.jpg	New	foil	DN	CR	CR	1.5519999999999998
46.55	3.0	CS-	animals/wasp.jpg	New	foil	DN	CR	CR	1.204
53.63399999999999	3.0	CS+	tools/anvil.jpg	New	foil	MO	FA	CR	1.538
60.733999999999995	3.0	CS-	animals/caterpillarpeacockmoth.jpg	Old	baseline	DO	H	H	1.2009999999999998
67.817	3.0	CS+	tools/snowbrush.jpg	New	foil	MN	CR	CR	1.774
74.883	3.0	CS-	animals/crab.jpg	New	foil	MN	CR	CR	1.746
81.95	3.0	CS+	tools/workbench.jpg	Old	extinction	MO	H	M	1.354
89.03399999999999	3.0	CS-	animals/rooster.jpg	New	foil	MN	CR	CR	1.791
96.134	3.0	CS-	animals/pelican.jpg	Old	baseline	DO	H	H	2.154
103.234	3.0	CS+	tools/flashlight.jpg	New	foil	MN	CR	CR	2.263
110.3	3.0	CS+	tools/solderingtorch.jpg	Old	extinction	DO	H	H	1.733
117.384	3.0	CS+	tools/sparkplug.jpg	Old	acquisition	MO	H	M	1.9409999999999998
124.484	3.0	CS+	tools/ladder.jpg	Old	baseline	MN	M	M	2.779
131.55	3.0	CS+	tools/faxmachine.jpg	Old	baseline	DO	H	H	1.159
138.634	3.0	CS-	animals/camel.jpg	Old	acquisition	DO	H	H	1.077
145.734	3.0	CS-	animals/orangutan.jpg	New	foil	DN	CR	CR	1.2570000000000001
152.834	3.0	CS+	tools/pick.jpg	New	foil	MO	FA	CR	1.6369999999999998
159.934	3.0	CS-	animals/mink.jpg	Old	acquisition	DO	H	H	1.291
167.017	3.0	CS+	tools/hairdryer.jpg	Old	baseline	DN	M	M	2.323
174.1	3.0	CS-	animals/gerbil.jpg	Old	baseline	DO	H	H	1.1420000000000001
181.18400000000003	3.0	CS-	animals/caterpillarhawkmoth.jpg	Old	extinction	DN	M	M	1.296
188.25	3.0	CS-	animals/stinkbug.jpg	New	foil	MN	CR	CR	2.864
195.317	3.0	CS+	tools/monkeywrench.jpg	Old	extinction	MO	H	M	1.5919999999999999
202.4	3.0	CS-	animals/shrimp.jpg	Old	extinction	DN	M	M	1.239
209.484	3.0	CS+	tools/measuringcups.jpg	Old	acquisition	DN	M	M	1.022
216.584	3.0	CS-	animals/mahimahi.jpg	Old	acquisition	DO	H	H	1.06
223.667	3.0	CS-	animals/beardeddragon.jpg	New	foil	MN	CR	CR	1.429
230.734	3.0	CS+	tools/scissors.jpg	Old	baseline	MO	H	M	1.882
237.8	3.0	CS+	tools/camera.jpg	Old	extinction	DO	H	H	1.9409999999999998
244.88400000000001	3.0	CS+	tools/telephone.jpg	New	foil	MN	CR	CR	1.786
251.967	3.0	CS+	tools/laptop.jpg	New	foil	MN	CR	CR	2.0
259.034	3.0	CS+	tools/blackboard.jpg	Old	acquisition	DN	M	M	1.151
266.134	3.0	CS-	animals/giraffe.jpg	Old	baseline	MO	H	M	2.975
